artist_id	artist_name
17000044	A Boogie Wit da Hoodie
17033443	Shordie Shordie
17057920	Saweetie
17064134	Chris Janson
17064340	Bryce Vine
17064388	Andy Grammer
17067316	Justin Bieber
17067317	Travis Scott
17067380	Nickelback
17138668	Bazzi
17146271	TOOL
17160234	Lil Uzi Vert
17179983	KAROL G
17183960	Sarah Jeffery
