track_id	track_name	artist_ids	provider_id	label_ids	short_value	long_value	play_ratio	day
42024909	Sunset Lover	[7840685]	16	[1075843]	17659	2368	7.457347972972973	2019-07-29
71875781	Bohemian Rhapsody (2011 Remaster)	[3435041]	7	[739639]	46689	6268	7.448787492022974	2019-07-29
82947244	Solway Firth	[17051687]	2	[730883]	28520	3829	7.448419952990337	2019-07-29
18428912	Beauty and the Beast (From "Beauty and the Beast" / Soundtrack Version)	[3503728]	7	[739477]	13443	1806	7.443521594684386	2019-07-29
76121564	7 rings	[3438018]	7	[739816]	10612	1427	7.4365802382620885	2019-07-29
18314936	I'll Make a Man Out of You (From "Mulan"/Soundtrack)	[3509507,3497753]	7	[739477,746779]	33087	4497	7.357571714476317	2019-07-29
71607553	Drip Too Hard	[11259983,11259944]	7	[5505645]	10668	1452	7.347107438016529	2019-07-29
71875776	Somebody To Love (2011 Remaster)	[3435041]	7	[739639]	24504	3375	7.2604444444444445	2019-07-29
22128088	When Will My Life Begin? (From "Tangled" / Soundtrack Version)	[3533119]	7	[739477]	13703	1907	7.185631882538018	2019-07-29
40880672	Logo Te Pate	[7691137,3971322,7691145]	7	[739477]	13181	1842	7.155808903365907	2019-07-29
64848167	Rearview Town	[2856555]	2	[2512681]	41991	5910	7.1050761421319795	2019-07-29
76103839	Come and Get Your Love (Single Edit)	[4375424]	3	[790014]	10024	1418	7.069111424541608	2019-07-29
68701773	God's Plan	[3411651]	7	[739816]	12437	1764	7.050453514739229	2019-07-29
22452986	Black Betty	[4354506]	3	[790551]	11321	1615	7.009907120743034	2019-07-29
71878672	Die From A Broken Heart	[3416184]	7	[741923]	17201	2468	6.969611021069692	2019-07-29
81540335	Stripper Bowl	[3456678]	7	[6725129]	10424	1504	6.930851063829787	2019-07-29
74378143	Let Go	[13443659]	7	[746676]	13708	1994	6.874623871614845	2019-07-29
76791542	La La Land (feat. YG)	[12037980]	2	[730914]	74389	10823	6.87323292987157	2019-07-29
71797240	Pumpkins scream in the dead of night	[13797604]	477	[2791624]	13934	2028	6.870808678500986	2019-07-29
80996992	Racism	[16500300]	23	[7790344]	10063	1465	6.868941979522185	2019-07-29
62055938	The Other Side	[4242587,11761207]	2	[730075]	24023	3535	6.795756718528995	2019-07-29
